Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Depth,Magnitude,Sigma
1984,10,24,12,26,5,-19.5352,21.7617,33.42,4.22,1.00
1984,10,26,8,22,2,-7.6313,20.6036,26.00,4.06,1.00
1984,10,30,1,34,45,-8.1854,20.9515,2.44,4.00,1.00
1984,11,4,3,11,54,-18.1159,29.1244,47.12,4.18,1.00
1984,11,4,10,40,54,-8.4347,22.3499,32.13,4.17,1.00
1984,11,6,3,23,25,-2.7441,22.1335,24.58,4.16,1.00
1984,11,17,6,42,40,-13.8582,22.9307,4.16,4.13,1.00
1984,11,30,16,41,24,-15.9560,28.4000,19.13,4.19,1.00
1984,12,2,5,7,22,-17.5000,23.4427,17.76,4.24,1.00
1984,12,3,22,59,21,-10.1192,23.4360,43.65,4.64,1.00
1984,12,9,19,23,50,-9.2747,25.7207,33.73,4.06,1.00
1984,12,11,3,45,17,-6.8944,22.4334,36.28,5.12,1.00
1984,12,12,14,43,2,-14.4076,20.9433,48.95,4.22,1.00
1984,12,13,21,34,9,-18.8923,24.5558,14.37,4.33,1.00
1984,12,15,15,10,36,-11.3141,23.8397,40.64,4.04,1.00
1984,12,16,22,19,33,-7.0265,24.3419,32.46,5.77,1.00
1984,12,22,7,12,32,-4.9905,22.8898,13.22,4.13,1.00
1984,12,24,7,44,11,-3.1586,25.1576,9.36,4.11,1.00
1984,12,25,10,1,2,-2.9655,23.3227,9.27,5.65,1.00
1984,12,25,18,24,59,-11.5696,29.6584,20.60,4.32,1.00
1984,12,31,2,56,54,-15.0179,21.9924,17.17,4.15,1.00
1985,1,4,12,58,35,-16.6804,23.7999,7.15,5.73,1.00
1985,1,15,9,47,45,-12.1716,28.5408,29.31,4.48,1.00
1985,1,16,19,20,35,-4.1040,23.4932,32.03,4.94,1.00
1985,1,17,4,53,36,-10.1049,21.6765,32.34,4.19,1.00
1985,1,25,14,19,57,-13.7381,20.2361,19.83,4.23,1.00
1985,1,26,3,18,39,-12.0772,21.3973,16.49,4.55,1.00
1985,1,26,9,34,9,-7.0795,27.6277,4.95,4.03,1.00
1985,2,3,0,1,0,-4.3957,26.6028,13.30,4.68,1.00
1985,2,3,12,28,55,-15.2792,26.0730,43.44,4.39,1.00
1985,2,5,9,57,5,-10.5963,27.6284,41.77,4.26,1.00
1985,2,5,16,33,52,-13.4382,28.9500,2.60,4.01,1.00
1985,2,6,10,23,34,-17.1433,21.2597,24.56,4.14,1.00
1985,2,7,10,43,18,-15.6696,21.4906,11.27,4.25,1.00
1985,2,10,2,33,40,-11.2227,26.8561,24.48,4.10,1.00
1985,2,13,12,1,18,-10.0025,22.6864,42.50,4.26,1.00
1985,2,13,13,36,14,-7.3003,23.1258,15.56,4.03,1.00
1985,2,18,14,16,44,-10.3368,26.8857,45.57,5.01,1.00
1985,2,20,15,12,19,-10.3417,23.0068,39.42,4.22,1.00
1985,2,21,4,4,15,-5.4248,23.7785,10.97,4.94,1.00
1985,2,22,22,13,10,-5.2043,21.0581,21.81,4.52,1.00
1985,2,23,20,36,24,-8.6663,23.7135,14.24,4.00,1.00
1985,2,25,2,5,18,-17.4616,24.1950,34.49,4.05,1.00
1985,2,28,21,2,3,-13.6913,27.7235,40.99,4.09,1.00
1985,2,28,22,35,53,-10.9478,25.0131,4.21,4.12,1.00
1985,3,1,9,33,31,-9.3648,21.9649,22.74,4.08,1.00
1985,3,1,13,38,1,-17.4819,22.0419,20.42,5.00,1.00
1985,3,6,11,59,2,-10.7359,25.3267,19.84,4.09,1.00
1985,3,6,18,33,19,-14.5703,23.3456,43.84,4.41,1.00
1985,3,9,6,59,49,-5.2571,21.6386,28.09,4.76,1.00
1985,3,9,15,7,25,-7.5067,20.3501,20.51,4.25,1.00
1985,3,10,10,32,44,-9.6218,21.8985,12.39,4.21,1.00
1985,3,10,18,48,24,-12.8547,20.3817,36.15,4.02,1.00
1985,3,11,18,34,7,-17.8671,27.3628,3.02,4.69,1.00
1985,3,13,0,59,29,-12.7799,28.0438,36.96,4.56,1.00
1985,3,24,7,39,34,-4.9800,21.1746,42.54,4.09,1.00
1985,3,26,8,6,55,-6.0125,20.5831,28.40,4.34,1.00
1985,3,29,13,48,10,-9.9557,29.8671,14.05,4.76,1.00
1985,4,11,5,17,19,-13.8283,27.5901,48.73,4.44,1.00
1985,4,12,17,51,29,-14.9764,20.0572,33.42,5.13,1.00
1985,4,13,10,31,1,-18.4416,26.5238,27.42,5.02,1.00
1985,4,17,15,10,55,-17.3282,22.6371,19.32,5.02,1.00
1985,4,18,17,21,55,-15.9131,29.4453,12.01,4.04,1.00
1985,4,22,1,12,58,-2.9262,26.3772,14.61,4.04,1.00
1985,4,22,9,33,11,-14.8026,29.2659,34.00,4.72,1.00
1985,4,23,20,41,38,-8.3036,22.0546,1.55,4.24,1.00
1985,4,24,10,38,44,-14.4984,22.8876,10.74,4.07,1.00
1985,4,25,9,29,7,-4.6424,22.7207,6.90,4.31,1.00
1985,4,25,11,22,29,-14.4633,24.2923,29.53,4.30,1.00
1985,4,26,12,7,4,-4.4974,20.4831,28.66,4.16,1.00
1985,4,26,19,21,24,-8.2413,25.3758,43.98,4.00,1.00
1985,4,26,21,9,14,-9.3773,20.2057,25.78,4.79,1.00
1985,4,27,3,7,56,-0.5038,23.1828,28.33,4.64,1.00
1985,4,28,1,40,22,-12.0773,28.6111,25.11,4.71,1.00
1985,4,28,13,23,24,-18.7351,28.2145,8.89,4.07,1.00
1985,5,1,17,31,31,-16.4143,27.3928,8.18,4.04,1.00
1985,5,2,3,30,21,-5.5272,27.0535,34.83,4.08,1.00
1985,5,3,21,40,0,-17.7507,26.8894,49.10,5.21,1.00
1985,5,4,1,47,48,-19.6541,23.0751,13.75,4.08,1.00
1985,5,6,1,10,20,-8.5084,28.9205,9.04,4.78,1.00
1985,5,6,10,48,2,-1.6127,24.1578,7.20,4.04,1.00
1985,5,10,14,47,58,-18.7339,28.8196,19.23,5.78,1.00
1985,5,12,2,29,27,-17.9301,26.8057,38.83,4.14,1.00
1985,5,12,12,27,51,-8.0646,20.5615,0.23,4.17,1.00
1985,5,12,12,55,38,-4.9084,22.5495,28.81,4.49,1.00
1985,5,13,14,41,30,-15.2832,22.2173,19.92,4.21,1.00
1985,5,14,6,6,11,-14.2238,26.2429,18.38,4.51,1.00
1985,5,14,19,22,30,-16.9772,24.8502,39.27,4.49,1.00
1985,5,17,1,16,17,-11.2094,27.4480,6.69,4.61,1.00
1985,5,18,15,23,55,-16.2491,27.9439,2.07,4.06,1.00
1985,5,21,16,53,20,-12.0417,20.9418,31.87,4.12,1.00
1985,5,22,19,49,51,-4.8418,25.2327,30.48,4.19,1.00
1985,5,22,21,24,11,-1.4703,25.6677,4.53,4.41,1.00
1985,5,23,17,7,19,-17.3168,28.3792,41.68,4.14,1.00
1985,5,28,15,40,21,-13.9692,26.1347,7.05,5.49,1.00
1985,5,30,20,50,26,-18.3526,27.1585,5.82,4.13,1.00
1985,5,31,8,2,23,-19.7183,29.6419,41.71,4.11,1.00
1985,6,1,14,59,35,-15.2767,29.5712,3.57,4.06,1.00
1985,6,2,5,58,34,-16.5619,20.6338,6.88,4.31,1.00
1985,6,3,0,18,28,-2.6554,23.2533,26.33,4.37,1.00
1985,6,3,0,48,2,-9.5313,24.8951,40.61,4.50,1.00
1985,6,3,14,49,35,-11.1272,24.7954,42.82,4.02,1.00
1985,6,4,0,27,55,-8.3564,28.3444,22.31,4.58,1.00
1985,6,8,18,34,18,-14.5321,20.9644,45.99,4.07,1.00
1985,6,9,11,32,47,-10.5741,23.4726,21.90,4.46,1.00
1985,6,13,1,3,58,-18.4892,20.9054,25.49,4.07,1.00
1985,6,13,2,2,17,-15.3833,25.1504,4.98,4.25,1.00
1985,6,14,6,53,7,-7.1416,23.9339,34.59,4.63,1.00
1985,6,18,2,7,39,-7.9737,20.9540,23.62,4.42,1.00
1985,6,18,15,49,2,-10.8513,26.8215,43.81,4.25,1.00
1985,6,21,18,15,34,-13.6833,29.2577,40.83,4.23,1.00
1985,6,22,2,3,43,-18.7651,21.8763,40.46,4.69,1.00
1985,6,22,21,34,13,-4.3365,26.0022,18.13,4.11,1.00
1985,6,27,3,37,17,-15.5932,28.1500,21.05,4.91,1.00
1985,6,27,17,27,14,-2.5354,22.1202,13.38,4.04,1.00
1985,7,1,8,49,17,-11.5958,27.2719,29.26,4.07,1.00
1985,7,1,13,52,48,-17.8817,20.5275,21.46,4.51,1.00
1985,7,3,21,30,9,-18.2058,24.7637,9.04,4.00,1.00
1985,7,5,11,19,46,-15.8013,25.2771,26.86,4.41,1.00
1985,7,10,2,3,48,-18.4615,26.4422,20.70,4.05,1.00
1985,7,11,16,10,28,-17.8146,24.9563,39.08,4.47,1.00
1985,7,11,18,8,9,-17.1708,20.8753,20.65,4.05,1.00
1985,7,15,5,9,44,-14.6146,27.3640,43.09,4.20,1.00
1985,7,18,10,24,13,-4.9789,25.1556,48.40,4.19,1.00
1985,7,19,7,40,41,-5.3491,22.2658,49.84,4.70,1.00
1985,7,21,0,42,40,-3.9383,20.5138,43.17,4.05,1.00
1985,7,21,3,19,0,-4.0294,23.7855,1.47,4.06,1.00
1985,7,23,0,30,8,-14.9779,23.2015,27.09,4.10,1.00
1985,7,23,12,15,38,-13.0446,29.1225,10.03,4.16,1.00
1985,7,26,3,22,40,-12.6257,24.0981,37.90,4.37,1.00
1985,7,26,19,31,11,-14.2975,22.6093,20.55,4.52,1.00
1985,7,29,19,50,59,-3.3354,26.2574,23.55,5.23,1.00
1985,7,30,11,56,9,-19.3295,24.1754,47.03,4.26,1.00
1985,7,31,4,42,43,-18.7459,24.8063,47.89,4.60,1.00
1985,7,31,23,49,23,-3.8069,21.0988,46.64,4.07,1.00
1985,8,4,11,13,3,-11.2113,24.3708,37.15,4.00,1.00
1985,8,10,15,43,56,-7.4532,21.1820,26.00,4.11,1.00
1985,8,11,6,8,26,-6.4805,20.0846,48.57,4.15,1.00
1985,8,13,5,52,27,-17.4759,23.0126,23.21,4.49,1.00
1985,8,16,15,32,29,-4.6074,24.7281,20.51,4.82,1.00
1985,8,19,2,23,36,-15.7486,24.1882,31.84,4.86,1.00
1985,8,21,17,13,21,-11.1373,26.0152,42.86,4.15,1.00
1985,8,22,4,52,10,-14.2086,27.8149,11.76,4.16,1.00
1985,8,23,14,45,58,-8.1379,22.2045,16.52,4.77,1.00
1985,8,23,21,47,2,-14.1229,23.4622,35.49,4.81,1.00
1985,8,27,2,13,29,-10.5319,26.3787,19.69,4.91,1.00
1985,8,28,5,28,57,-11.1622,23.1422,22.47,4.24,1.00
1985,8,30,13,15,25,-3.0622,23.6428,41.42,4.50,1.00
1985,8,30,16,41,33,-3.6001,21.2083,41.57,5.04,1.00
1985,9,2,11,58,29,-11.4785,22.4006,6.12,4.13,1.00
1985,9,4,6,26,43,-2.7293,22.9681,22.80,4.05,1.00
1985,9,7,16,46,47,-19.7119,21.8912,13.38,4.01,1.00
1985,9,9,0,23,24,-7.8160,27.9816,24.37,4.04,1.00
1985,9,14,15,18,0,-10.6220,20.9007,18.46,4.44,1.00
1985,9,19,9,39,49,-6.8883,27.8017,23.25,4.11,1.00
1985,9,28,6,52,59,-13.6543,25.5693,10.38,4.13,1.00
1985,10,1,8,37,2,-14.5533,26.9508,49.14,4.41,1.00
1985,10,2,12,53,1,-2.7373,25.7502,3.11,4.19,1.00
1985,10,6,16,50,1,-14.4120,28.0401,45.87,4.78,1.00
1985,10,9,17,26,37,-8.8455,21.5594,39.12,4.48,1.00
1985,10,9,20,5,33,-10.2915,20.7430,40.85,5.34,1.00
1985,10,11,20,28,34,-8.5512,21.3503,10.87,4.28,1.00
1985,10,13,0,3,41,-1.1596,25.5021,2.88,4.28,1.00
1985,10,13,20,51,3,-5.2009,22.1455,36.20,4.94,1.00
1985,10,16,12,47,55,-19.2644,23.6487,35.04,4.32,1.00
1985,10,17,9,14,57,-19.5534,20.6151,32.37,4.64,1.00
1985,10,18,13,43,53,-13.1447,20.8571,45.71,4.20,1.00
1985,10,18,20,30,32,-0.6935,24.2073,5.98,4.29,1.00
1985,10,19,2,55,8,-18.3684,24.2778,14.34,4.94,1.00
1985,10,19,5,31,6,-19.8500,24.3202,13.60,5.73,1.00
1985,10,21,3,36,47,-12.4809,22.4813,7.71,4.16,1.00
1985,10,23,14,0,37,-7.2662,23.4431,47.15,5.21,1.00
1985,10,25,8,27,43,-11.5324,22.3049,20.31,4.49,1.00
1985,10,25,12,6,38,-7.2685,20.3367,9.80,4.16,1.00
1985,10,25,16,19,23,-18.8778,23.0484,44.78,4.37,1.00
1985,10,27,18,34,15,-9.2292,26.7129,18.45,5.03,1.00
1985,10,29,4,33,20,-14.7917,26.2192,45.21,4.06,1.00
1985,10,29,9,58,42,-7.9299,20.6153,45.27,4.05,1.00
1985,10,30,5,1,44,-10.6954,25.8568,20.56,4.17,1.00
1985,10,31,1,10,50,-10.4044,29.1548,31.93,4.07,1.00
1985,11,1,11,6,56,-8.0893,22.4002,10.47,4.55,1.00
1985,11,2,3,17,55,-14.9636,20.7291,30.23,4.45,1.00
1985,11,2,13,35,9,-0.3563,24.2070,5.68,4.20,1.00
1985,11,2,18,54,18,-13.9219,28.6205,4.15,4.15,1.00
1985,11,5,4,12,27,-19.5282,24.6433,34.91,4.64,1.00
1985,11,7,14,0,9,-15.4053,20.8212,15.42,4.70,1.00
1985,11,8,12,59,55,-13.7486,29.6226,23.20,4.34,1.00
1985,11,8,21,23,39,-6.1101,21.2731,36.01,4.29,1.00
1985,11,16,15,29,32,-10.0445,23.4357,19.55,4.22,1.00
1985,11,17,10,51,47,-14.9554,24.7721,32.86,4.78,1.00
1985,11,17,20,21,19,-15.6918,23.2457,29.20,4.20,1.00
1985,11,19,5,20,46,-19.8831,27.3525,22.56,4.70,1.00
1985,11,19,20,53,53,-15.9557,27.9931,12.39,4.53,1.00
1985,11,21,6,33,9,-13.8420,22.1163,17.48,4.44,1.00
1985,11,21,11,21,54,-6.9787,28.0479,23.78,4.01,1.00
1985,11,25,17,2,13,-10.1952,25.2807,0.67,4.78,1.00
1985,11,26,13,13,45,-12.6608,23.6825,2.23,4.89,1.00
1985,12,2,2,0,48,-8.5665,27.1132,24.95,6.36,1.00
1985,12,2,7,33,29,-6.2458,24.6436,35.82,4.25,1.00
1985,12,4,1,35,56,-13.4152,25.5012,4.33,4.20,1.00
1985,12,7,11,0,23,-6.3464,22.8749,42.34,4.51,1.00
1985,12,8,0,17,44,-10.7376,28.6318,25.45,4.43,1.00
1985,12,9,18,22,33,-7.2996,24.6797,30.27,5.22,1.00
1985,12,13,5,57,53,-11.5052,20.4515,41.10,4.18,1.00
1985,12,14,9,10,37,-16.2844,23.5959,4.88,4.03,1.00
1985,12,15,10,30,7,-17.0968,21.1741,18.66,4.03,1.00
1985,12,18,12,49,50,-17.0843,21.7874,33.41,5.58,1.00
1985,12,22,20,9,18,-16.4186,20.9599,35.92,4.12,1.00
1985,12,24,5,49,57,-19.2113,27.8058,31.34,4.66,1.00
1985,12,25,4,8,45,-12.6770,28.3043,46.05,4.08,1.00
1985,12,28,7,55,30,-14.8080,25.3991,44.25,4.13,1.00
1985,12,30,5,50,6,-17.1026,21.8197,26.08,4.02,1.00
1985,12,30,23,45,15,-12.6779,20.6874,33.32,4.71,1.00
1986,1,5,14,44,52,-7.2753,20.2051,37.43,4.31,1.00
1986,1,7,11,43,21,-10.8583,23.5009,15.78,4.43,1.00
1986,1,9,4,52,34,-5.7999,26.0647,0.77,4.18,1.00
1986,1,10,0,27,32,-6.6700,27.5413,11.65,4.39,1.00
1986,1,17,21,42,54,-9.2425,23.8392,30.66,4.09,1.00
1986,1,19,1,4,59,-12.4071,24.6315,37.75,4.84,1.00
1986,1,21,12,11,33,-13.8998,21.7635,25.51,4.26,1.00
1986,1,24,9,23,33,-3.6825,21.3760,7.03,4.03,1.00
1986,1,25,0,29,20,-11.9234,21.4801,20.43,4.69,1.00
1986,1,25,1,54,28,-14.9218,20.6911,47.10,4.67,1.00
1986,1,26,16,21,33,-11.5182,20.7351,29.75,4.39,1.00
1986,1,27,4,59,38,-14.3005,28.9713,46.14,4.10,1.00
1986,1,31,2,28,31,-12.0599,21.4079,1.96,4.12,1.00
1986,1,31,6,24,51,-12.6119,20.1410,12.18,4.45,1.00
1986,2,10,18,2,44,-13.9484,25.1289,40.74,4.05,1.00
1986,2,13,21,4,16,-3.4093,26.4656,40.78,4.87,1.00
1986,2,18,20,18,1,-10.5764,22.1771,20.13,4.06,1.00
1986,2,20,4,50,34,-15.1762,25.2867,34.54,4.01,1.00
1986,2,21,7,50,22,-15.5584,21.7783,12.35,4.51,1.00
1986,2,22,8,48,3,-16.5749,29.3556,31.69,4.19,1.00
1986,2,25,9,12,34,-0.7113,20.7404,16.05,4.22,1.00
1986,3,1,1,55,38,-9.9992,28.1490,27.17,4.09,1.00
1986,3,1,16,40,40,-17.2330,28.0521,26.58,5.31,1.00
1986,3,4,10,12,33,-17.4457,28.1856,11.48,4.00,1.00
1986,3,5,18,8,51,-4.6553,23.4155,21.66,4.54,1.00
1986,3,11,17,16,59,-19.9816,25.2369,38.34,4.74,1.00
1986,3,12,20,54,17,-12.5818,29.9663,31.22,4.06,1.00
1986,3,13,16,8,10,-16.2310,25.2718,26.59,5.07,1.00
1986,3,14,0,39,18,-1.4566,22.5963,21.78,4.30,1.00
1986,3,15,22,24,1,-8.6195,22.5007,17.64,4.08,1.00
1986,3,27,21,22,4,-18.9921,23.7907,31.34,4.57,1.00
1986,3,31,10,22,10,-16.2664,26.3468,48.32,4.24,1.00
1986,4,3,4,41,2,-6.8347,26.6461,41.37,5.49,1.00
1986,4,3,11,42,23,-11.6800,27.5954,16.18,5.63,1.00
1986,4,5,20,39,2,-8.6899,20.1593,3.69,5.22,1.00
1986,4,8,8,2,28,-2.5995,24.8084,2.03,4.11,1.00
1986,4,9,18,9,50,-4.0547,26.0863,25.37,4.01,1.00
1986,4,15,17,2,13,-7.9367,25.2088,9.37,4.21,1.00
1986,4,15,19,58,49,-1.0582,23.8352,16.80,4.22,1.00
1986,4,17,2,52,59,-14.8875,20.4510,9.42,4.41,1.00
1986,4,19,9,53,58,-2.5349,22.3868,25.57,4.24,1.00
1986,4,19,12,57,57,-7.7599,21.4733,12.25,4.01,1.00
1986,4,20,23,18,39,-18.4936,25.9750,20.83,4.20,1.00
1986,4,23,6,39,22,-0.1072,22.3785,45.00,4.67,1.00
1986,4,23,23,42,20,-4.0441,23.9936,0.50,4.38,1.00
1986,4,28,0,26,29,-2.1748,22.0512,35.28,4.84,1.00
1986,4,29,19,33,7,-19.3499,29.6631,43.58,6.03,1.00
1986,5,1,19,13,25,-2.7258,25.5645,32.91,4.02,1.00
1986,5,3,9,34,35,-8.7456,27.1232,29.69,4.41,1.00
1986,5,5,2,51,35,-6.4562,25.4842,20.97,4.51,1.00
1986,5,5,13,45,5,-19.3205,20.5749,8.45,4.09,1.00
1986,5,5,19,1,18,-6.5855,27.7042,9.85,4.60,1.00
1986,5,6,6,24,56,-17.1747,26.6082,43.48,4.34,1.00
1986,5,13,21,40,14,-2.3073,24.1449,10.60,4.14,1.00
1986,5,17,7,10,10,-11.0277,28.3814,35.09,4.25,1.00
1986,5,18,13,46,50,-13.1122,20.2445,45.58,4.27,1.00
1986,5,26,20,59,58,-9.0371,24.3374,13.61,4.07,1.00
1986,5,27,13,52,21,-18.6206,24.1440,45.00,4.46,1.00
1986,5,28,1,29,2,-2.7384,22.9243,35.59,4.09,1.00
1986,5,29,18,25,40,-12.2696,23.7029,45.79,4.49,1.00
1986,6,2,9,50,43,-9.6726,23.2405,7.69,4.53,1.00
1986,6,2,17,24,32,-2.8051,20.0756,20.95,4.08,1.00
1986,6,3,18,12,47,-7.8384,20.0725,18.09,4.66,1.00
1986,6,6,22,24,6,-19.1857,27.0406,24.73,5.12,1.00
1986,6,7,4,34,7,-11.2107,27.0344,30.87,4.51,1.00
1986,6,7,7,59,29,-15.3016,22.5693,24.84,4.95,1.00
1986,6,8,23,1,57,-19.1959,29.0518,8.65,4.92,1.00
1986,6,10,18,16,6,-0.4069,24.8208,39.54,4.09,1.00
1986,6,10,21,31,57,-4.4927,20.1312,46.54,4.18,1.00
1986,6,12,16,58,9,-5.7351,23.8024,11.52,4.63,1.00
1986,6,17,10,10,13,-5.1938,24.6485,25.25,4.31,1.00
1986,6,18,19,34,24,-11.3644,29.8651,17.93,5.02,1.00
1986,6,19,9,41,19,-1.1062,20.5070,46.26,4.05,1.00
1986,6,20,5,0,16,-14.0406,29.4336,33.35,4.05,1.00
1986,6,22,1,15,56,-19.8007,27.9874,43.96,5.36,1.00
1986,6,26,12,21,34,-15.6517,24.5073,28.75,4.22,1.00
1986,6,26,13,14,10,-16.8701,29.6565,15.95,4.06,1.00
1986,6,27,3,1,44,-18.4267,24.9364,12.44,4.94,1.00
1986,6,28,22,31,5,-17.6209,29.8190,35.46,4.26,1.00
1986,7,10,14,8,12,-14.3781,22.0454,44.42,4.35,1.00
1986,7,14,8,48,19,-14.3032,28.9250,46.95,4.09,1.00
1986,7,14,13,5,40,-11.3110,23.4068,26.10,4.15,1.00
1986,7,14,14,28,11,-16.8914,23.5797,10.90,4.63,1.00
1986,7,15,11,5,43,-8.9885,28.6806,20.97,4.06,1.00
1986,7,15,19,20,19,-19.8235,29.2098,13.36,5.53,1.00
1986,7,16,20,28,25,-19.2362,24.4237,6.66,4.09,1.00
1986,7,17,8,36,38,-15.8280,22.9933,14.86,4.29,1.00
1986,7,17,14,42,34,-6.5692,26.2321,43.88,4.39,1.00
1986,7,18,23,27,50,-7.5147,24.8889,5.81,5.57,1.00
1986,7,23,10,26,28,-19.5115,24.6404,24.78,4.17,1.00
1986,7,23,11,53,24,-19.9315,29.0584,3.02,4.09,1.00
1986,7,24,17,29,4,-11.9900,28.7127,5.87,4.00,1.00
1986,7,25,5,6,19,-19.8012,20.3398,22.11,6.07,1.00
1986,7,26,11,56,38,-17.5973,28.6247,37.69,4.69,1.00
1986,7,26,17,30,28,-4.7610,22.4367,46.49,4.14,1.00
1986,7,28,5,7,29,-12.5275,23.2943,18.11,4.23,1.00
1986,7,28,12,7,56,-7.6520,28.6368,13.73,4.47,1.00
1986,8,2,18,24,31,-11.0379,20.1493,37.08,4.80,1.00
1986,8,3,15,56,42,-16.5438,25.1728,10.95,4.64,1.00
1986,8,4,14,42,21,-11.2987,25.4009,25.82,4.00,1.00
1986,8,14,5,25,37,-8.6955,28.3877,42.43,4.10,1.00
1986,8,14,8,46,58,-9.1971,26.4753,18.58,4.55,1.00
1986,8,14,16,18,34,-15.6801,28.0440,34.42,4.06,1.00
1986,8,16,15,3,11,-8.6614,23.3319,16.34,4.83,1.00
1986,8,21,7,39,59,-10.2303,20.4757,31.13,5.30,1.00
1986,8,22,19,2,13,-8.6315,23.4934,36.52,4.29,1.00
1986,8,23,2,30,50,-7.2378,21.8564,42.95,4.02,1.00
1986,8,23,8,56,42,-4.4082,22.8142,35.67,4.07,1.00
1986,8,26,4,35,47,-16.4738,24.3463,36.54,4.19,1.00
1986,8,27,1,49,25,-8.7107,22.6370,49.35,5.32,1.00
1986,8,27,17,32,46,-7.9016,26.2441,20.95,4.75,1.00
1986,8,28,7,50,34,-16.9710,23.9241,25.92,4.17,1.00
1986,8,29,5,46,8,-17.6497,26.8204,39.93,4.31,1.00
1986,8,29,11,59,15,-15.4688,27.6489,23.98,4.07,1.00
1986,8,29,14,28,21,-8.8765,26.2422,5.08,4.09,1.00
1986,9,4,16,35,18,-15.7354,24.0015,6.50,4.27,1.00
1986,9,6,13,58,35,-5.0842,25.7652,15.73,4.38,1.00
1986,9,6,23,34,18,-10.1733,24.1301,46.14,4.55,1.00
1986,9,8,0,15,50,-13.9047,22.4429,46.38,4.41,1.00
1986,9,10,2,41,22,-18.6975,29.8591,48.78,4.46,1.00
1986,9,10,4,8,46,-9.6791,22.8492,37.25,4.11,1.00
1986,9,10,19,14,4,-15.1199,23.0304,16.45,4.21,1.00
1986,9,12,6,47,49,-10.4517,28.6670,29.91,4.53,1.00
1986,9,14,7,43,15,-10.4697,21.4042,5.58,4.02,1.00
1986,9,15,11,27,43,-14.4198,24.6237,29.59,4.59,1.00
1986,9,17,7,11,59,-6.0747,24.2683,17.35,4.53,1.00
1986,9,19,9,48,20,-2.1401,21.1674,19.81,4.08,1.00
1986,9,19,13,50,50,-8.6973,25.5483,11.98,4.25,1.00
1986,9,22,15,33,5,-15.0143,27.3653,21.74,4.45,1.00
1986,9,23,3,52,20,-5.4255,20.8578,0.65,4.57,1.00
1986,9,23,7,24,37,-15.2781,24.3092,42.30,4.15,1.00
1986,9,24,14,41,30,-7.9991,23.5967,5.28,4.09,1.00
1986,9,24,20,26,48,-3.3862,22.3142,44.92,4.34,1.00
1986,9,26,10,17,59,-16.2843,20.3944,15.85,5.31,1.00
1986,9,27,19,38,32,-3.9897,21.6044,9.85,4.68,1.00
1986,9,30,9,53,22,-12.1943,27.6651,16.27,4.07,1.00
1986,10,1,2,50,34,-6.2097,22.5444,17.09,4.04,1.00
1986,10,5,12,2,6,-18.6787,28.1450,7.71,5.25,1.00
1986,10,5,14,32,49,-4.8959,26.7556,8.05,4.16,1.00
1986,10,9,4,13,56,-19.4447,28.4692,22.25,4.59,1.00
1986,10,9,20,41,15,-12.8239,28.8521,45.70,4.12,1.00
1986,10,10,7,2,39,-8.4320,22.3049,8.09,4.12,1.00
1986,10,13,20,25,9,-10.9401,21.4555,28.94,4.20,1.00
1986,10,14,22,59,50,-0.7114,25.2153,18.21,4.34,1.00
1986,10,16,11,57,51,-17.7199,27.1885,30.76,4.59,1.00
1986,10,18,8,0,30,-18.4788,27.1637,39.31,4.48,1.00
1986,10,18,17,44,15,-0.5311,21.0862,28.41,4.23,1.00
1986,10,19,10,30,3,-12.1515,20.0661,47.16,4.38,1.00
1986,10,21,4,31,28,-12.3430,27.4998,44.71,4.63,1.00
1986,10,23,16,43,24,-14.4819,28.4679,28.60,5.50,1.00
1986,10,25,5,47,51,-14.9508,25.2904,30.87,4.45,1.00
1986,10,27,1,46,12,-14.0047,20.0148,14.93,4.77,1.00
1986,10,27,6,6,40,-12.8513,21.3815,30.15,4.95,1.00
1986,11,7,9,46,52,-16.3108,26.1163,11.29,4.58,1.00
1986,11,8,0,2,50,-2.4362,25.6363,41.21,4.36,1.00
1986,11,8,6,48,29,-15.6373,21.8054,21.27,4.51,1.00
1986,11,10,4,4,16,-14.3393,28.7260,33.82,4.16,1.00
1986,11,10,16,21,58,-8.2379,24.2985,46.44,4.09,1.00
1986,11,11,3,44,10,-10.1900,20.7497,3.53,4.12,1.00
1986,11,11,17,42,58,-2.2203,25.2174,26.19,4.53,1.00
1986,11,14,22,9,40,-7.4337,20.8052,19.83,5.65,1.00
1986,11,15,0,22,16,-13.5762,25.3756,13.22,4.13,1.00
1986,11,16,19,42,14,-12.2123,29.2016,30.54,4.01,1.00
1986,11,19,17,53,8,-7.0608,24.3205,20.43,4.09,1.00
1986,11,21,4,26,58,-16.1005,25.1746,19.97,4.68,1.00
1986,11,21,13,26,24,-4.3443,25.2149,15.13,4.27,1.00
1986,11,22,6,3,49,-10.2141,20.5804,12.32,4.00,1.00
1986,11,25,21,33,15,-19.3264,28.9247,9.02,4.71,1.00
1986,11,25,22,4,52,-1.5284,21.6262,42.44,4.20,1.00
1986,11,27,19,11,20,-4.1785,24.2859,49.44,4.03,1.00
1986,12,1,19,10,0,-11.7197,22.0537,39.54,4.08,1.00
1986,12,3,6,2,25,-19.5259,20.1112,3.79,4.27,1.00
1986,12,6,14,31,5,-11.1700,25.4675,0.19,4.14,1.00
1986,12,12,0,33,53,-18.9011,25.0932,23.64,4.02,1.00
